"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
73,213,4.61,38.5,14,118,6.96,4.53,2000,NA,NA,"DB",8,309
71,193,4.5,NA,NA,NA,NA,NA,2000,5,144,"RB",5,310
76,332,5.26,29,28,97,7.78,4.72,2000,2,61,"OL",2,311
71,222,4.52,NA,NA,NA,NA,NA,2000,NA,NA,"RB",8,312
70,206,4.72,31.5,15,108,7.15,4.65,2000,NA,NA,"DB",8,313
71,180,4.59,36,NA,123,7.22,4.16,2000,6,175,"WR",6,314
75,282,4.9,30.5,NA,111,7.22,4.25,2000,4,122,"DL",4,315
74,245,4.56,NA,11,NA,NA,NA,2000,4,106,"LB",4,316
74,290,5.21,30.5,23,109,NA,NA,2000,6,191,"DL",6,317
71,216,4.84,29.5,15,112,7.15,4.41,2000,NA,NA,"RB",8,318
75,229,4.91,34,NA,108,7.71,4.59,2000,6,183,"QB",6,319
75,191,4.53,33,NA,130,7.09,4.18,2000,NA,NA,"WR",8,320
74,278,4.94,29.5,27,106,7.2,4.47,2000,5,139,"DL",5,321
71,219,4.82,NA,24,104,NA,NA,2001,7,232,"LB",7,322
72,210,4.55,NA,NA,NA,NA,NA,2001,5,163,"DB",5,323
70,192,4.44,39.5,14,121,6.78,3.9,2001,1,22,"DB",1,324
75,246,NA,NA,NA,NA,NA,NA,2001,NA,NA,"K",8,325
69,194,4.62,31,15,111,NA,NA,2001,NA,NA,"RB",8,326
72,238,4.65,NA,25,NA,NA,NA,2001,3,83,"LB",3,327
74,184,4.57,34.5,NA,115,NA,NA,2001,5,148,"WR",5,328
72,211,4.46,NA,31,NA,NA,NA,2001,1,20,"DB",1,329
78,293,5.11,33.5,20,109,7.4,4.3,2001,NA,NA,"OL",8,330
76,255,4.76,33,22,106,7.12,4.19,2001,5,141,"TE",5,331
77,310,5.37,27,25,99,8.27,4.67,2001,1,18,"OL",1,332
75,283,5.1,NA,NA,NA,NA,NA,2001,6,181,"DL",6,333
73,198,NA,NA,NA,NA,NA,NA,2001,NA,NA,"K",8,334
77,201,4.47,30.5,NA,110,NA,NA,2001,5,140,"WR",5,335
73,235,4.56,NA,NA,NA,NA,NA,2001,3,80,"RB",3,336
74,206,4.56,40,22,126,7.14,4.2,2001,2,37,"DB",2,337
74,204,4.53,37.5,NA,122,7.39,4.21,2001,2,62,"DB",2,338
72,227,4.85,29.5,NA,102,7.55,4.38,2001,NA,NA,"QB",8,339
76,270,4.83,34.5,25,110,7.32,4.28,2001,4,107,"DL",4,340
73,319,5.32,NA,17,98,8.07,4.71,2001,4,123,"DL",4,341
73,234,4.64,38.5,24,124,7.25,4.5,2001,2,39,"LB",2,342
69,207,4.38,39.5,13,130,NA,NA,2001,1,27,"RB",1,343
71,191,4.43,39.5,NA,122,6.78,4.08,2001,5,159,"WR",5,344
70,217,4.6,NA,22,NA,NA,NA,2001,3,91,"DB",3,345
70,255,4.97,33.5,32,108,7.81,4.38,2001,NA,NA,"RB",8,346
72,205,4.74,35.5,NA,115,7.14,4.2,2001,NA,NA,"DB",8,347
71,210,4.54,37,17,121,7.03,4.28,2001,7,210,"DB",7,348
75,316,4.93,NA,NA,NA,NA,NA,2001,3,93,"DL",3,349
73,209,4.56,NA,NA,NA,NA,NA,2001,NA,NA,"DB",8,350
70,194,4.36,35.5,18,119,7.05,4.09,2001,5,150,"RB",5,351
76,290,5.28,31,19,106,7.81,4.89,2001,NA,NA,"OL",8,352
69,193,4.65,NA,NA,NA,NA,NA,2001,NA,NA,"DB",8,353
74,221,4.9,29.5,NA,105,7.54,4.48,2001,6,172,"QB",6,354
79,332,5.05,30.5,25,107,8.08,4.83,2001,NA,NA,"OL",8,355
